,Smoke чек-лист - Плеер на сайте  https://www.youtube.com	,,
,,,
№,Проверка ,Статус прохождения ,Комментарий
1,Открыт сайт youtube.com,Passed,
2,Выбранный плеер открывается ,Passed,
3,Видео запускается,Passed,
4,Отображается видео-контент и воспроизводится,Passed,
5,Открыт полноэкранный режим при его выборе,Passed,
6,Открывается режим широкого экрана,Passed,
7,Закрывается режим широкого экрана,Passed,
8,Перемотка видео назад,Passed,
9,Перемотка видео вперед ,Passed,
10,Перевод звука в режим отключен,Passed,
11,Остановка видео,Passed,
12,Перевод звука в режим включен,Passed,
13,Громкость регулируется,Passed,
14,"Панель Настройки открывается при нажатии на значок ""Настройки""",Passed,
15,После завершения видео возможно запустить повтор текущего видео,Passed,
16,Регулируется скорость воспроизведения видео,Passed,
17,Регулируется качество видео,Passed,
18,Отображение включенных Субтитров в плеере,Passed,
