,Smoke чек-лист - Плеер на сайте  https://www.youtube.com	,,
,,,
№,Проверка ,Статус прохождения ,Комментарий
1,Открыт сайт youtube.com,Passed,
2,Выбранный плеер открывается ,,
3,Видео запускается,,
4,Отображается видео-контент и воспроизводится,,
5,Открыт полноэкранный режим при его выборе,,
6,Открывается режим широкого экрана,,
7,Закрывается режим широкого экрана,,
8,Перемотка видео назад,,
9,Перемотка видео вперед ,,
10,Перевод звука в режим отключен,,
11,Остановка видео,,
12,Перевод звука в режим включен,,
13,Громкость регулируется,,
14,"Панель Настройки открывается при нажатии на значок ""Настройки""",,
15,После завершения видео возможно запустить повтор текущего видео,,
16,Регулируется скорость воспроизведения видео,,
17,Регулируется качество видео,,
18,Отображение включенных Субтитров в плеере,,
